Sat0_6:40:13:('2 Jun 2023 15:09:05.149', '2 Jun 2023 15:27:56.502')
Sat0_6:40:14:('2 Jun 2023 17:18:09.539', '2 Jun 2023 17:40:42.878')
Sat0_6:40:15:('2 Jun 2023 19:27:26.411', '2 Jun 2023 19:46:49.587')
Sat0_6:40:16:('3 Jun 2023 05:36:54.606', '3 Jun 2023 05:55:59.580')
Sat0_6:40:17:('3 Jun 2023 07:42:44.581', '3 Jun 2023 08:05:19.047')
Sat0_6:40:18:('3 Jun 2023 09:55:16.338', '3 Jun 2023 10:14:22.162')
Sat0_6:40:19:('3 Jun 2023 12:12:32.128', '3 Jun 2023 12:25:31.152')
Sat0_6:40:20:('3 Jun 2023 14:25:37.360', '3 Jun 2023 14:42:23.984')
Sat0_6:40:21:('3 Jun 2023 16:34:58.681', '3 Jun 2023 16:57:02.522')
Sat0_6:40:22:('3 Jun 2023 18:44:01.604', '3 Jun 2023 19:05:16.210')
Sat0_6:40:23:('3 Jun 2023 20:55:19.563', '3 Jun 2023 21:04:59.033')
Sat0_6:40:24:('4 Jun 2023 04:56:19.209', '4 Jun 2023 05:12:16.508')
Sat0_6:40:25:('4 Jun 2023 06:59:45.176', '4 Jun 2023 07:22:06.878')
Sat0_6:40:26:('4 Jun 2023 09:10:18.876', '4 Jun 2023 09:31:05.093')
Sat0_6:40:27:('4 Jun 2023 11:26:45.353', '4 Jun 2023 11:41:07.833')
Sat0_6:40:28:('4 Jun 2023 13:41:51.423', '4 Jun 2023 13:56:31.963')
Sat0_6:40:29:('4 Jun 2023 15:51:46.597', '4 Jun 2023 16:12:46.059')
Sat0_6:40:30:('4 Jun 2023 18:00:44.811', '4 Jun 2023 18:23:00.794')
Sat0_6:40:31:('4 Jun 2023 20:10:42.464', '4 Jun 2023 20:26:01.268')
Sat0_6:40:32:('5 Jun 2023 04:17:02.413', '5 Jun 2023 04:27:52.274')
Sat0_6:40:33:('5 Jun 2023 06:17:23.517', '5 Jun 2023 06:38:50.959')
Sat0_6:40:34:('5 Jun 2023 08:25:56.699', '5 Jun 2023 08:47:52.578')
Sat0_6:40:35:('5 Jun 2023 10:40:51.955', '5 Jun 2023 10:57:17.930')
Sat0_6:40:36:('5 Jun 2023 12:57:34.388', '5 Jun 2023 13:10:42.221')
Sat0_6:40:37:('5 Jun 2023 15:08:30.498', '5 Jun 2023 15:27:54.073')
Sat0_6:40:38:('5 Jun 2023 17:17:32.225', '5 Jun 2023 17:40:07.257')
Sat0_6:40:39:('5 Jun 2023 19:26:55.306', '5 Jun 2023 19:45:35.757')
Sat0_7:40:0:('1 Jun 2023 04:43:20.554', '1 Jun 2023 04:56:03.783')
Sat0_7:40:1:('1 Jun 2023 06:44:45.737', '1 Jun 2023 07:06:34.440')
Sat0_7:40:2:('1 Jun 2023 08:53:55.989', '1 Jun 2023 09:15:34.159')
Sat0_7:40:3:('1 Jun 2023 11:09:21.952', '1 Jun 2023 11:25:08.540')
Sat0_7:40:4:('1 Jun 2023 13:25:40.118', '1 Jun 2023 13:39:10.075')
Sat0_7:40:5:('1 Jun 2023 15:36:14.095', '1 Jun 2023 15:56:09.924')
Sat0_7:40:6:('1 Jun 2023 17:45:13.837', '1 Jun 2023 18:07:47.255')
Sat0_7:40:7:('1 Jun 2023 19:54:45.029', '1 Jun 2023 20:12:33.297')
Sat0_7:40:8:('2 Jun 2023 04:06:38.463', '2 Jun 2023 04:09:32.270')
Sat0_7:40:9:('2 Jun 2023 06:02:52.169', '2 Jun 2023 06:23:13.967')
Sat0_7:40:10:('2 Jun 2023 08:09:58.877', '2 Jun 2023 08:32:23.028')
